channel,spend_multiplier,weekly_spend,total_revenue,roas
google_nonbrand_search,1.93,50303.44,8079742.2,1.5153
google_nonbrand_search,1.98,51634.22,8079742.2,1.4762
google_nonbrand_search,2.03,52964.99,8079742.2,1.4391
google_nonbrand_search,2.08,54295.77,8079742.2,1.4039
google_nonbrand_search,2.13,55626.55,8079742.2,1.3703
google_nonbrand_search,2.18,56957.33,8079742.2,1.3383
google_nonbrand_search,2.23,58288.11,8079742.2,1.3077
google_nonbrand_search,2.29,59618.89,8079742.2,1.2785
google_nonbrand_search,2.34,60949.67,8079742.2,1.2506
google_nonbrand_search,2.39,62280.45,8079742.2,1.2239
google_nonbrand_search,2.44,63611.22,8079742.2,1.1983
google_nonbrand_search,2.49,64942.0,8079742.2,1.1737
google_nonbrand_search,2.54,66272.78,8079742.2,1.1502
google_nonbrand_search,2.59,67603.56,8079742.2,1.1275
google_nonbrand_search,2.64,68934.34,8079742.2,1.1057
google_nonbrand_search,2.69,70265.12,8079742.2,1.0848
google_nonbrand_search,2.74,71595.9,8079742.2,1.0646
google_nonbrand_search,2.8,72926.68,8079742.2,1.0452
google_nonbrand_search,2.85,74257.45,8079742.2,1.0265
google_nonbrand_search,2.9,75588.23,8079742.2,1.0084
google_nonbrand_search,2.95,76919.01,8079742.2,0.991
google_nonbrand_search,3.0,78249.79,8079742.2,0.9741
google_remarketing,0.5,8990.44,14459456.36,15.1728
google_remarketing,0.55,9907.83,14459456.36,13.7679
google_remarketing,0.6,10825.22,14459456.36,12.6011
google_remarketing,0.65,11742.61,14459456.36,11.6167
google_remarketing,0.7,12660.01,14459456.36,10.7749
google_remarketing,0.76,13577.4,14459456.36,10.0468
google_remarketing,0.81,14494.79,14459456.36,9.411
google_remarketing,0.86,15412.18,14459456.36,8.8508
google_remarketing,0.91,16329.57,14459456.36,8.3536
google_remarketing,0.96,17246.96,14459456.36,7.9092
google_remarketing,1.01,18164.36,14459456.36,7.5098
google_remarketing,1.06,19081.75,14459456.36,7.1487
google_remarketing,1.11,19999.14,14459456.36,6.8208
google_remarketing,1.16,20916.53,14459456.36,6.5216
google_remarketing,1.21,21833.92,14459456.36,6.2476
google_remarketing,1.27,22751.32,14459456.36,5.9957
google_remarketing,1.32,23668.71,14459456.36,5.7633
google_remarketing,1.37,24586.1,14459456.36,5.5483
google_remarketing,1.42,25503.49,14459456.36,5.3487
google_remarketing,1.47,26420.88,14459456.36,5.163
google_remarketing,1.52,27338.27,14459456.36,4.9897
google_remarketing,1.57,28255.67,14459456.36,4.8277
google_remarketing,1.62,29173.06,14459456.36,4.6759
google_remarketing,1.67,30090.45,14459456.36,4.5333
google_remarketing,1.72,31007.84,14459456.36,4.3992
google_remarketing,1.78,31925.23,14459456.36,4.2728
google_remarketing,1.83,32842.62,14459456.36,4.1534
google_remarketing,1.88,33760.02,14459456.36,4.0406
google_remarketing,1.93,34677.41,14459456.36,3.9337
google_remarketing,1.98,35594.8,14459456.36,3.8323
google_remarketing,2.03,36512.19,14459456.36,3.736
google_remarketing,2.08,37429.58,14459456.36,3.6444
google_remarketing,2.13,38346.97,14459456.36,3.5573
google_remarketing,2.18,39264.37,14459456.36,3.4741
google_remarketing,2.23,40181.76,14459456.36,3.3948
google_remarketing,2.29,41099.15,14459456.36,3.319
google_remarketing,2.34,42016.54,14459456.36,3.2466
google_remarketing,2.39,42933.93,14459456.36,3.1772
google_remarketing,2.44,43851.32,14459456.36,3.1107
google_remarketing,2.49,44768.72,14459456.36,3.047
google_remarketing,2.54,45686.11,14459456.36,2.9858
google_remarketing,2.59,46603.5,14459456.36,2.927
google_remarketing,2.64,47520.89,14459456.36,2.8705
google_remarketing,2.69,48438.28,14459456.36,2.8162
google_remarketing,2.74,49355.68,14459456.36,2.7638
google_remarketing,2.8,50273.07,14459456.36,2.7134
google_remarketing,2.85,51190.46,14459456.36,2.6648
google_remarketing,2.9,52107.85,14459456.36,2.6178
google_remarketing,2.95,53025.24,14459456.36,2.5725
google_remarketing,3.0,53942.63,14459456.36,2.5288
meta_other,0.5,17320.69,3391556.86,1.8473
meta_other,0.55,19088.1,3391556.86,1.6762
meta_other,0.6,20855.52,3391556.86,1.5342
meta_other,0.65,22622.94,3391556.86,1.4143
meta_other,0.7,24390.36,3391556.86,1.3118
meta_other,0.76,26157.77,3391556.86,1.2232
meta_other,0.81,27925.19,3391556.86,1.1458
meta_other,0.86,29692.61,3391556.86,1.0776
meta_other,0.91,31460.02,3391556.86,1.017
meta_other,0.96,33227.44,3391556.86,0.9629
meta_other,1.01,34994.86,3391556.86,0.9143
meta_other,1.06,36762.28,3391556.86,0.8703
meta_other,1.11,38529.69,3391556.86,0.8304
meta_other,1.16,40297.11,3391556.86,0.794
meta_other,1.21,42064.53,3391556.86,0.7606
meta_other,1.27,43831.94,3391556.86,0.73
meta_other,1.32,45599.36,3391556.86,0.7017
meta_other,1.37,47366.78,3391556.86,0.6755
meta_other,1.42,49134.2,3391556.86,0.6512
meta_other,1.47,50901.61,3391556.86,0.6286
meta_other,1.52,52669.03,3391556.86,0.6075
meta_other,1.57,54436.45,3391556.86,0.5878
meta_other,1.62,56203.86,3391556.86,0.5693
meta_other,1.67,57971.28,3391556.86,0.5519
meta_other,1.72,59738.7,3391556.86,0.5356
meta_other,1.78,61506.11,3391556.86,0.5202
meta_other,1.83,63273.53,3391556.86,0.5057
meta_other,1.88,65040.95,3391556.86,0.4919
meta_other,1.93,66808.37,3391556.86,0.4789
meta_other,1.98,68575.78,3391556.86,0.4666
meta_other,2.03,70343.2,3391556.86,0.4549
meta_other,2.08,72110.62,3391556.86,0.4437
meta_other,2.13,73878.03,3391556.86,0.4331
meta_other,2.18,75645.45,3391556.86,0.423
meta_other,2.23,77412.87,3391556.86,0.4133
meta_other,2.29,79180.29,3391556.86,0.4041
meta_other,2.34,80947.7,3391556.86,0.3953
meta_other,2.39,82715.12,3391556.86,0.3868
meta_other,2.44,84482.54,3391556.86,0.3787
meta_other,2.49,86249.95,3391556.86,0.371
meta_other,2.54,88017.37,3391556.86,0.3635
meta_other,2.59,89784.79,3391556.86,0.3564
meta_other,2.64,91552.21,3391556.86,0.3495
meta_other,2.69,93319.62,3391556.86,0.3429
meta_other,2.74,95087.04,3391556.86,0.3365
meta_other,2.8,96854.46,3391556.86,0.3303
meta_other,2.85,98621.87,3391556.86,0.3244
meta_other,2.9,100389.29,3391556.86,0.3187
meta_other,2.95,102156.71,3391556.86,0.3132
meta_other,3.0,103924.12,3391556.86,0.3079
meta_prospecting,0.5,8579.21,0.0,0.0
meta_prospecting,0.55,9454.64,0.0,0.0
meta_prospecting,0.6,10330.06,0.0,0.0
meta_prospecting,0.65,11205.49,0.0,0.0
meta_prospecting,0.7,12080.92,0.0,0.0
meta_prospecting,0.76,12956.35,0.0,0.0
meta_prospecting,0.81,13831.78,0.0,0.0
meta_prospecting,0.86,14707.21,0.0,0.0
meta_prospecting,0.91,15582.64,0.0,0.0
meta_prospecting,0.96,16458.07,0.0,0.0
meta_prospecting,1.01,17333.5,0.0,0.0
meta_prospecting,1.06,18208.93,0.0,0.0
meta_prospecting,1.11,19084.36,0.0,0.0
meta_prospecting,1.16,19959.79,0.0,0.0
meta_prospecting,1.21,20835.22,0.0,0.0
meta_prospecting,1.27,21710.64,0.0,0.0
meta_prospecting,1.32,22586.07,0.0,0.0
meta_prospecting,1.37,23461.5,0.0,0.0
meta_prospecting,1.42,24336.93,0.0,0.0
meta_prospecting,1.47,25212.36,0.0,0.0
meta_prospecting,1.52,26087.79,0.0,0.0
meta_prospecting,1.57,26963.22,0.0,0.0
meta_prospecting,1.62,27838.65,0.0,0.0
meta_prospecting,1.67,28714.08,0.0,0.0
meta_prospecting,1.72,29589.51,0.0,0.0
meta_prospecting,1.78,30464.94,0.0,0.0
meta_prospecting,1.83,31340.37,0.0,0.0
meta_prospecting,1.88,32215.79,0.0,0.0
meta_prospecting,1.93,33091.22,0.0,0.0
meta_prospecting,1.98,33966.65,0.0,0.0
meta_prospecting,2.03,34842.08,0.0,0.0
meta_prospecting,2.08,35717.51,0.0,0.0
meta_prospecting,2.13,36592.94,0.0,0.0
meta_prospecting,2.18,37468.37,0.0,0.0
meta_prospecting,2.23,38343.8,0.0,0.0
meta_prospecting,2.29,39219.23,0.0,0.0
meta_prospecting,2.34,40094.66,0.0,0.0
meta_prospecting,2.39,40970.09,0.0,0.0
meta_prospecting,2.44,41845.52,0.0,0.0
meta_prospecting,2.49,42720.95,0.0,0.0
meta_prospecting,2.54,43596.37,0.0,0.0
meta_prospecting,2.59,44471.8,0.0,0.0
meta_prospecting,2.64,45347.23,0.0,0.0
meta_prospecting,2.69,46222.66,0.0,0.0
meta_prospecting,2.74,47098.09,0.0,0.0
meta_prospecting,2.8,47973.52,0.0,0.0
meta_prospecting,2.85,48848.95,0.0,0.0
meta_prospecting,2.9,49724.38,0.0,0.0
meta_prospecting,2.95,50599.81,0.0,0.0
meta_prospecting,3.0,51475.24,0.0,0.0
meta_retargeting,0.5,8406.03,3211253.15,3.6039
meta_retargeting,0.55,9263.79,3211253.15,3.2702
meta_retargeting,0.6,10121.55,3211253.15,2.9931
meta_retargeting,0.65,10979.31,3211253.15,2.7593
meta_retargeting,0.7,11837.07,3211253.15,2.5593
meta_retargeting,0.76,12694.82,3211253.15,2.3864
meta_retargeting,0.81,13552.58,3211253.15,2.2354
meta_retargeting,0.86,14410.34,3211253.15,2.1023
meta_retargeting,0.91,15268.1,3211253.15,1.9842
meta_retargeting,0.96,16125.86,3211253.15,1.8787
meta_retargeting,1.01,16983.62,3211253.15,1.7838
meta_retargeting,1.06,17841.37,3211253.15,1.698
meta_retargeting,1.11,18699.13,3211253.15,1.6201
meta_retargeting,1.16,19556.89,3211253.15,1.5491
meta_retargeting,1.21,20414.65,3211253.15,1.484
meta_retargeting,1.27,21272.41,3211253.15,1.4241
meta_retargeting,1.32,22130.17,3211253.15,1.3689
meta_retargeting,1.37,22987.92,3211253.15,1.3179
meta_retargeting,1.42,23845.68,3211253.15,1.2705
meta_retargeting,1.47,24703.44,3211253.15,1.2263
meta_retargeting,1.52,25561.2,3211253.15,1.1852
meta_retargeting,1.57,26418.96,3211253.15,1.1467
meta_retargeting,1.62,27276.72,3211253.15,1.1106
meta_retargeting,1.67,28134.47,3211253.15,1.0768
meta_retargeting,1.72,28992.23,3211253.15,1.0449
meta_retargeting,1.78,29849.99,3211253.15,1.0149
meta_retargeting,1.83,30707.75,3211253.15,0.9866
meta_retargeting,1.88,31565.51,3211253.15,0.9597
meta_retargeting,1.93,32423.27,3211253.15,0.9344
meta_retargeting,1.98,33281.02,3211253.15,0.9103
meta_retargeting,2.03,34138.78,3211253.15,0.8874
meta_retargeting,2.08,34996.54,3211253.15,0.8657
meta_retargeting,2.13,35854.3,3211253.15,0.8449
meta_retargeting,2.18,36712.06,3211253.15,0.8252
meta_retargeting,2.23,37569.82,3211253.15,0.8064
meta_retargeting,2.29,38427.57,3211253.15,0.7884
meta_retargeting,2.34,39285.33,3211253.15,0.7711
meta_retargeting,2.39,40143.09,3211253.15,0.7547
meta_retargeting,2.44,41000.85,3211253.15,0.7389
meta_retargeting,2.49,41858.61,3211253.15,0.7237
meta_retargeting,2.54,42716.37,3211253.15,0.7092
meta_retargeting,2.59,43574.12,3211253.15,0.6952
meta_retargeting,2.64,44431.88,3211253.15,0.6818
meta_retargeting,2.69,45289.64,3211253.15,0.6689
meta_retargeting,2.74,46147.4,3211253.15,0.6565
meta_retargeting,2.8,47005.16,3211253.15,0.6445
meta_retargeting,2.85,47862.92,3211253.15,0.633
meta_retargeting,2.9,48720.67,3211253.15,0.6218
meta_retargeting,2.95,49578.43,3211253.15,0.611
meta_retargeting,3.0,50436.19,3211253.15,0.6007
